length,width,depth,volume,crease_depth,surface_area,crease_volume
157,46.5635374050567,25.7647071479936,74735,13.8194915699052,15021.3333333333,1
149,49.0620833483056,32.463707802629,93299,17.0456732592418,19096,1
166,47.909962495804,28.6199877544969,90188,15.7334710952019,17074.6666666667,1
139,48.5242631790539,35.1070196859187,93435,18.5760960218347,19297.3333333333,0.500114573785518
162,47.6234823019946,30.8919498266569,93135,18.0263305860096,18041.3333333333,0.500977910722503
150,47.2536747407539,30.344539196544,79918,17.9754992934023,16725.3333333333,0.392039961327747
149,47.6122351823609,29.229159136713,79704,14.2449471819259,17252,1
144,47.6336494225539,33.7667390490503,86155,20.0432942343515,19458.6666666667,0.501023706896552
147,46.212289557701,22.1372522168311,51677,11.7534531968508,12505.3333333333,0.251967312348668
149,49.1091519067939,34.164241919724,95382,18.3036797738576,19732,1
131,50.2516565570946,38.029983750475,91846,20.8815967662996,19872,0.500046189376443
160,47.5157350122415,30.7838560697918,88947,18.6747463778545,17006.6666666667,0.333398058252427
103,39.8855859997404,27.8189163547784,46907,14.968702975968,12129.3333333333,1
