length,width,depth,volume,crease_depth,surface_area,crease_volume
74,21.614030135247,12.7947818490976,11606,3.86995498607769,3880,0
69,17.0874233366181,11.8074807520165,9482,1.60069203541257,3453.33333333333,0
72,17.849310445892,11.6283394578087,11461,1.7568263362426,4053.33333333333,0
69,19.5437857283294,11.8507550758479,11397,2.57174874409558,3328,0
75,17.4519012706908,11.6243743736664,10305,1.44830709049364,3292,0
129,27.5402574030606,16.1902334024833,28447,5.12377030120203,8776,0
97,32.1837400030593,15.8180826156267,22854,8.27878410187127,6813.33333333333,0.75
78,19.1107745195195,12.4112583297808,12268,2.60110338638589,4125.33333333333,0
73,19.6975251349368,13.5590926182612,12064,2.61406452355969,3628,0
66,23.7600905960809,16.8482101647056,14880,3.96730176111006,4188,0
72,22.6266641124842,13.0501659595056,14350,4.10036717515339,4189.33333333333,0
66,21.3890148347473,17.5529780939003,10993,1.91120028927322,3376,0
25,446.077071127383,402.489104685871,2731436,5.74672046487221,222470.666666667,0.158662180075456
