length,width,depth,volume,crease_depth,surface_area,crease_volume
163,47.3934669007127,21.3515465169941,72595,10.7255967211411,15540,0.167343829355003
169,48.0825779247321,23.8571854263287,82416,11.9522639304571,16992,0.500110815602837
173,47.7653520179917,23.9331019270189,87691,12.1206666402084,18098.6666666667,0.500092404361486
166,48.4167367108877,23.5575436772094,86609,10.6840842000548,18176,1
174,49.0252648459302,24.0555258924417,88685,11.5935077483159,18612,0.500369003690037
161,48.5794486867439,25.6674066381875,88655,12.6952896225413,19113.3333333333,0.333517937357701
173,48.3833658981812,22.9434454844165,84853,10.7460454204474,17446.6666666667,1
144,47.9761308159284,25.2373992215735,80991,11.4203811710077,17876,0.33471188309898
158,46.5073004895021,21.4009479280386,64586,10.9029703947109,15658.6666666667,0.2581906729634
114,70.6472936358968,20.9734153989526,70782,10.5759847603192,18080,0.333972025292202
