Type,Count As,Area(mm²),Length(mm),Width(mm)

Automatic,1,9.0,8.2,1.5
Automatic,1,8.7,7.5,1.5
Automatic,1,8.8,8.3,1.5
Automatic,1,7.9,7.2,1.4
Automatic,1,9.6,7.4,1.5
Automatic,1,9.0,7.8,1.5
Automatic,1,8.6,8.0,1.4
Automatic,1,8.7,7.9,1.4
Automatic,1,7.1,6.9,1.2
Automatic,1,8.0,7.3,1.5
Automatic,1,7.7,7.1,1.4
Automatic,1,8.6,7.7,1.4
Automatic,1,7.2,6.8,1.2
Automatic,1,8.1,7.4,1.4
Automatic,1,8.9,7.9,1.3
Automatic,1,8.1,7.7,1.4
Automatic,1,8.9,8.2,1.4
Automatic,1,8.3,7.9,1.4
Automatic,1,7.8,6.9,1.4
Automatic,1,8.4,7.9,1.4
Automatic,1,8.7,7.4,1.5
Automatic,1,8.6,7.5,1.5
Automatic,1,8.3,7.8,1.5
Automatic,1,8.8,8.0,1.4
Automatic,1,9.0,7.8,1.5
Automatic,1,7.6,7.0,1.4
Automatic,1,8.2,6.9,1.5
Automatic,1,7.3,7.2,1.4
Automatic,1,7.8,8.0,1.4
Automatic,1,7.8,7.3,1.5
Automatic,1,8.6,7.8,1.5
Automatic,1,8.9,8.2,1.6
Automatic,1,8.5,8.3,1.3
Automatic,1,8.0,7.1,1.5
Automatic,1,7.0,7.0,1.2
Automatic,1,8.0,7.1,1.4
Automatic,1,6.9,7.0,1.2
Automatic,1,8.2,7.5,1.3
Automatic,1,7.1,6.4,1.5
Automatic,1,6.8,7.1,1.1
Automatic,1,6.8,6.7,1.2
Automatic,1,8.5,7.3,1.5
Automatic,1,7.7,6.9,1.5
Automatic,1,7.7,6.8,1.4
