Type,Count As,Area(mm²),Length(mm),Width(mm)

Automatic,1,8.0,7.4,1.4
Automatic,1,8.2,7.0,1.5
Automatic,1,8.1,6.5,1.5
Automatic,1,8.4,7.5,1.4
Automatic,1,8.6,8.7,1.4
Automatic,1,8.7,7.3,1.4
Automatic,1,6.5,6.8,1.1
Automatic,1,8.5,7.5,1.4
Automatic,1,8.0,7.0,1.4
Automatic,1,5.8,6.3,1.1
Automatic,1,6.6,6.4,1.3
Automatic,1,8.3,7.3,1.4
Automatic,1,7.9,7.5,1.4
Automatic,1,8.1,7.4,1.4
Automatic,1,8.1,6.8,1.4
Automatic,1,6.6,6.4,1.3
Automatic,1,8.5,8.1,1.4
Automatic,1,9.0,8.0,1.5
Automatic,1,8.7,8.1,1.4
Automatic,1,7.2,7.2,1.2
Automatic,1,8.4,7.8,1.3
Automatic,1,8.3,7.4,1.4
Automatic,1,7.8,8.0,1.1
Automatic,1,5.7,6.5,1.0
Automatic,1,8.4,7.5,1.4
Automatic,1,7.7,7.1,1.4
Automatic,1,8.6,7.6,1.4
Automatic,1,7.5,7.2,1.3
Automatic,1,7.7,7.2,1.3
Automatic,1,7.7,7.5,1.3
Automatic,1,7.3,7.0,1.2
Automatic,1,8.7,7.9,1.4
Automatic,1,6.7,6.7,1.1
Automatic,1,7.7,7.1,1.3
Automatic,1,8.5,7.6,1.4
Automatic,1,8.7,8.1,1.3
Automatic,1,7.6,7.0,1.3
Automatic,1,6.8,6.8,1.3
Automatic,1,6.6,6.7,1.2
Automatic,1,8.3,7.5,1.3
Automatic,1,7.8,7.6,1.3
Automatic,1,7.8,8.3,1.2
Automatic,1,8.6,7.0,1.4
Automatic,1,7.4,7.3,1.3
Automatic,1,6.7,6.6,1.4
Automatic,1,7.9,7.0,1.4
Automatic,1,7.6,7.7,1.3
Automatic,1,8.9,8.0,1.4
Automatic,1,9.1,7.5,1.5
Automatic,1,7.1,6.7,1.3
Automatic,1,7.1,6.1,1.5
