Type,Count As,Area(mm²),Length(mm),Width(mm)

Automatic,1,10.3,8.7,1.6
Automatic,1,10.2,8.9,1.6
Automatic,1,9.8,8.9,1.5
Automatic,1,10.0,8.7,1.6
Automatic,1,11.0,9.7,1.7
Automatic,1,9.4,8.7,1.5
Automatic,1,11.8,9.8,1.6
Automatic,1,9.5,8.3,1.5
Automatic,1,11.2,9.3,1.6
Automatic,1,9.7,8.5,1.5
Automatic,1,10.6,9.2,1.7
Automatic,1,10.1,9.3,1.5
Automatic,1,10.2,9.3,1.6
Automatic,1,11.1,9.0,1.6
Automatic,1,9.4,8.5,1.5
Automatic,1,10.1,8.8,1.5
Automatic,1,10.2,8.9,1.5
Automatic,1,10.8,10.2,1.6
Automatic,1,9.2,8.3,1.5
Automatic,1,10.7,9.0,1.5
Automatic,1,11.2,9.9,1.6
Automatic,1,10.9,9.3,1.5
Automatic,1,9.0,8.6,1.5
Automatic,1,10.6,8.8,1.5
Automatic,1,9.0,8.6,1.4
Automatic,1,10.5,9.3,1.6
Automatic,1,10.0,9.1,1.5
Automatic,1,10.8,9.4,1.6
Automatic,1,10.0,8.9,1.5
Automatic,1,9.6,9.1,1.5
Automatic,1,10.1,8.7,1.5
Automatic,1,10.4,9.0,1.5
Automatic,1,8.4,7.9,1.3
Automatic,1,10.6,9.3,1.6
Automatic,1,9.8,9.2,1.4
Automatic,1,10.1,10.0,1.5
Automatic,1,9.7,9.6,1.4
Automatic,1,10.0,8.6,1.5
Automatic,1,11.6,10.7,1.6
Automatic,1,9.8,8.9,1.5
Automatic,1,11.7,10.3,1.6
Automatic,1,10.2,10.1,1.4
Automatic,1,11.2,10.0,1.5
Automatic,1,9.3,8.3,1.6
Automatic,1,10.0,8.7,1.5
Automatic,1,10.2,8.5,1.6
Automatic,1,9.9,9.8,1.4
Automatic,1,9.9,9.1,1.5
Automatic,1,9.5,8.5,1.5
Automatic,1,9.9,9.8,1.4
