ID,Main Seed,Main Seeds,Weight(g),TGW(g),ØArea,ØWidth,Min Width,Max Width,ØLength,Min Length,Max Length,Date

ABR6V6-1,Automatic,38,0.14,3.64,8.0,1.4,1.1,2.1,7.9,6.5,9.7,17/08/2016
ABR6V6-2,Automatic,44,0.18,4.15,8.1,1.4,1.1,1.6,7.5,6.4,8.3,17/08/2016
ABR6V6-3,Automatic,51,0.21,4.10,7.8,1.3,1.0,1.5,7.3,6.1,8.7,17/08/2016
BD21V6-1,Automatic,38,0.19,4.98,11.0,1.8,0.9,2.0,8.4,1.5,9.9,17/08/2016
BD21V6-2,Automatic,32,0.16,5.10,11.5,1.8,1.4,2.0,9.0,7.4,10.4,17/08/2016
BD_01273V6-1,Automatic,39,0.17,4.24,8.2,1.4,1.0,1.8,7.4,5.2,9.3,17/08/2016
BD_01273V6-2,Automatic,44,0.19,4.21,8.4,1.4,1.1,1.6,7.7,6.2,9.3,17/08/2016
BD_01273V6-3,Automatic,50,0.21,4.10,8.8,1.4,1.2,1.7,8.0,6.6,9.6,17/08/2016
BD_01274V6-1,Automatic,38,0.18,4.78,9.0,1.5,1.3,1.7,7.6,6.2,9.4,17/08/2016
BD_01274V6-2,Automatic,43,0.22,5.08,9.8,1.6,1.3,1.8,8.3,6.9,10.0,17/08/2016
BD_01274V6-3,Automatic,49,0.27,5.45,10.4,1.7,1.5,2.0,8.7,7.3,10.1,17/08/2016
BD_01275V6-1,Automatic,38,0.15,3.84,10.4,1.7,1.4,1.9,8.5,7.0,10.8,17/08/2016
BD_01275V6-2,Automatic,42,0.20,4.67,10.5,1.7,1.1,2.0,8.4,3.9,9.8,17/08/2016
BD_01275V6-3,Automatic,51,0.26,5.16,11.6,1.8,1.2,2.0,8.8,7.4,10.5,17/08/2016
