ID,Main Seed,Main Seeds,Weight(g),TGW(g),ØArea,ØWidth,Min Width,Max Width,ØLength,Min Length,Max Length,Date

BD_01296V6-1,Automatic,32,0.15,4.81,9.7,1.5,1.2,1.7,8.5,6.6,9.9,20/08/2016
BD_01296V6-2,Automatic,50,0.24,4.76,9.8,1.5,1.3,1.7,8.5,3.6,10.1,20/08/2016
BD_01296V6-3,Automatic,41,0.18,4.44,9.1,1.4,1.3,1.8,8.2,6.6,9.7,20/08/2016
BD_01297V6-1,Automatic,37,0.17,4.55,9.2,1.4,1.1,1.6,8.4,6.8,9.8,20/08/2016
BD_01297V6-2,Automatic,11,0.05,4.76,8.5,1.4,1.3,1.5,7.8,7.1,8.8,20/08/2016
BD_01297V6-3,Automatic,44,0.22,4.99,9.5,1.5,0.6,1.6,8.4,1.7,10.2,20/08/2016
BD_01298V6-1,Automatic,36,0.18,5.07,10.4,1.7,1.4,1.8,8.9,7.7,10.1,20/08/2016
BD_01298V6-2,Automatic,51,0.26,5.09,10.3,1.6,1.2,1.9,8.8,6.7,10.4,20/08/2016
BD_01298V6-3,Automatic,44,0.24,5.44,10.3,1.6,1.3,1.8,8.6,5.8,9.8,20/08/2016
BD_01299V6-1,Automatic,39,0.17,4.34,10.4,1.6,1.2,1.8,8.8,6.8,11.9,20/08/2016
BD_01299V6-2,Automatic,44,0.20,4.58,9.6,1.6,1.1,1.8,8.3,6.8,9.7,20/08/2016
BD_01299V6-3,Automatic,50,0.24,4.85,10.3,1.6,1.4,2.4,8.7,4.9,10.3,20/08/2016
BD_01300V6-1,Automatic,38,0.20,5.16,10.4,1.6,1.4,1.9,8.9,6.8,10.2,20/08/2016
BD_01300V6-2,Automatic,44,0.22,4.97,9.5,1.5,1.3,1.8,8.4,7.2,10.3,20/08/2016
BD_01300V6-3,Automatic,50,0.23,4.51,9.1,1.5,1.2,1.6,8.2,6.3,10.0,20/08/2016
BD_01301V6-1,Automatic,38,0.18,4.87,10.0,1.7,1.3,1.9,8.0,6.6,9.3,20/08/2016
BD_01301V6-2,Automatic,50,0.25,5.01,10.3,1.7,1.1,2.0,8.3,2.2,9.8,20/08/2016
BD_01301V6-3,Automatic,46,0.21,4.61,10.7,1.7,1.3,1.9,8.6,6.3,11.6,20/08/2016
BD_01302V6-1,Automatic,37,0.18,4.93,10.2,1.4,1.1,1.6,9.6,7.5,10.9,20/08/2016
BD_01302V6-2,Automatic,43,0.20,4.64,9.5,1.4,1.1,1.5,9.1,8.1,10.4,20/08/2016
BD_01303V6-1,Automatic,42,0.20,4.70,9.7,1.6,1.4,1.8,8.3,7.3,9.4,20/08/2016
BD_01303V6-2,Automatic,44,0.20,4.56,9.1,1.6,1.4,1.8,8.0,6.8,9.1,20/08/2016
BD_01303V6-3,Automatic,44,0.20,4.50,8.8,1.5,1.2,1.7,8.0,6.3,9.5,20/08/2016
BD_01304V6-1,Automatic,39,0.20,5.01,9.7,1.6,1.3,1.8,7.9,6.7,9.5,20/08/2016
BD_01304V6-2,Automatic,51,0.23,4.49,9.4,1.6,1.0,1.8,8.0,6.4,10.0,20/08/2016
BD_01304V6-3,Automatic,44,0.20,4.60,9.0,1.5,1.2,1.7,7.6,6.4,9.7,20/08/2016
BD_01305V6-1,Automatic,38,0.20,5.23,10.7,1.6,1.1,1.8,9.0,7.1,11.1,20/08/2016
BD_01305V6-2,Automatic,43,0.24,5.59,10.7,1.6,0.9,1.9,9.1,1.5,10.4,20/08/2016
BD_01305V6-3,Automatic,51,0.26,5.14,10.3,1.6,1.3,1.8,9.0,7.3,11.2,20/08/2016
BD_01306V6-1,Automatic,38,0.20,5.14,8.8,1.4,1.2,1.5,8.2,7.7,9.4,20/08/2016
BD_01306V6-2,Automatic,51,0.24,4.76,8.7,1.4,1.1,1.6,8.2,5.8,9.7,20/08/2016
BD_01306V6-3,Automatic,44,0.22,4.95,8.9,1.4,1.1,1.6,8.4,7.1,9.6,20/08/2016
BD_01307V6-1,Automatic,37,0.19,5.19,10.3,1.6,1.3,1.8,9.1,7.2,12.2,20/08/2016
BD_01307V6-2,Automatic,50,0.25,5.01,10.5,1.6,1.4,1.8,9.1,6.8,10.6,20/08/2016
BD_01307V6-3,Automatic,45,0.23,5.04,10.3,1.6,1.3,1.8,9.1,7.7,11.1,20/08/2016
BD_01308V6-1,Automatic,36,0.20,5.47,11.4,1.7,1.3,1.9,9.2,7.3,10.4,20/08/2016
BD_01308V6-2,Automatic,51,0.25,4.99,11.2,1.7,1.4,1.9,9.5,6.7,11.8,20/08/2016
BD_01308V6-3,Automatic,44,0.24,5.44,11.0,1.7,1.2,1.9,9.1,6.5,11.7,20/08/2016
BD_01309V6-1,Automatic,38,0.19,5.06,9.8,1.5,1.2,2.1,9.1,7.5,11.9,20/08/2016
BD_01309V6-2,Automatic,44,0.22,4.99,9.9,1.4,1.2,1.6,9.7,4.2,11.8,20/08/2016
BD_01309V6-3,Automatic,49,0.24,4.83,10.0,1.5,1.3,1.7,9.6,7.6,11.3,20/08/2016
