ID,Main Seed,Main Seeds,Weight(g),TGW(g),ØArea,ØWidth,Min Width,Max Width,ØLength,Min Length,Max Length,Date

BD_01338V6-1,Automatic,38,0.19,5.00,10.0,1.5,1.3,1.6,8.8,7.5,9.8,22/08/2016
BD_01338V6-2,Automatic,51,0.25,4.99,9.9,1.5,1.2,1.7,8.5,7.0,9.7,22/08/2016
BD_01338V6-3,Automatic,44,0.22,4.95,8.9,1.4,1.2,1.6,7.9,6.6,9.2,22/08/2016
BD_01339V6-1,Automatic,38,0.18,4.62,8.7,1.4,1.2,1.5,8.0,6.8,9.5,22/08/2016
BD_01339V6-2,Automatic,51,0.25,4.87,8.6,1.4,1.1,1.6,8.0,6.7,9.8,22/08/2016
BD_01339V6-3,Automatic,44,0.21,4.74,8.4,1.4,1.1,1.5,7.8,6.7,9.4,22/08/2016
BD_01340V6-1,Automatic,38,0.17,4.47,8.2,1.5,1.3,1.7,7.3,6.4,8.8,22/08/2016
BD_01340V6-2,Automatic,51,0.22,4.28,8.1,1.5,1.2,1.9,7.2,6.5,9.3,22/08/2016
BD_01340V6-3,Automatic,44,0.22,4.93,8.9,1.5,1.2,1.6,7.8,6.7,9.8,22/08/2016
BD_01341V6-1,Automatic,38,0.19,4.96,10.1,1.7,1.5,2.0,8.3,6.8,9.3,22/08/2016
BD_01341V6-2,Automatic,53,0.26,4.94,9.9,1.7,1.4,1.9,8.2,7.0,9.8,22/08/2016
BD_01341V6-3,Automatic,45,0.21,4.76,9.9,1.6,1.2,1.9,8.5,6.8,10.1,22/08/2016
BD_01342V6-1,Automatic,38,0.19,5.00,10.0,1.7,1.4,1.9,7.8,7.0,9.2,22/08/2016
BD_01342V6-2,Automatic,51,0.27,5.39,10.9,1.8,1.3,2.0,8.5,7.1,9.4,22/08/2016
BD_01342V6-3,Automatic,46,0.25,5.45,10.7,1.8,1.4,2.0,8.2,6.5,9.7,22/08/2016
BD_01343V6-1,Automatic,38,0.20,5.20,10.6,1.6,1.5,1.8,9.3,8.0,11.1,22/08/2016
BD_01343V6-2,Automatic,44,0.21,4.83,10.4,1.6,1.3,1.8,9.1,7.8,10.7,22/08/2016
BD_01343V6-3,Automatic,50,0.25,4.92,10.5,1.7,1.5,1.8,9.1,7.0,10.8,22/08/2016
BD_01344V6-1,Automatic,37,0.18,4.76,10.7,1.8,1.6,2.1,8.2,7.0,9.4,22/08/2016
BD_01344V6-2,Automatic,52,0.22,4.31,10.0,1.7,1.2,1.9,7.9,6.5,9.6,22/08/2016
BD_01344V6-3,Automatic,44,0.23,5.26,11.2,1.8,1.6,2.0,8.6,7.2,9.9,22/08/2016
BD_01345V6-1,Automatic,38,0.17,4.39,9.2,1.5,1.2,1.8,7.9,6.3,10.5,22/08/2016
BD_01345V6-2,Automatic,51,0.28,5.43,10.2,1.7,1.4,1.9,8.4,6.9,10.0,22/08/2016
BD_01345V6-3,Automatic,44,0.23,5.29,10.1,1.7,1.4,1.9,8.5,7.2,9.7,22/08/2016
BD_01346V6-1,Automatic,37,0.20,5.34,9.5,1.5,1.4,1.7,8.3,6.6,9.8,22/08/2016
BD_01346V6-2,Automatic,50,0.22,4.42,8.4,1.4,1.2,1.6,7.6,5.7,9.4,22/08/2016
BD_01346V6-3,Automatic,45,0.23,5.14,9.4,1.5,1.0,1.7,8.3,6.5,9.8,22/08/2016
BD_01347V6-1,Automatic,40,0.18,4.42,8.7,1.4,1.2,1.5,8.1,7.2,9.0,22/08/2016
BD_01347V6-2,Automatic,49,0.26,5.26,9.1,1.5,1.2,1.7,8.0,6.8,9.2,22/08/2016
BD_01347V6-3,Automatic,44,0.24,5.38,9.3,1.5,1.3,1.6,8.3,7.3,9.3,22/08/2016
BD_01348V6-1,Automatic,38,0.18,4.73,9.6,1.6,1.5,1.8,7.9,7.0,9.0,22/08/2016
BD_01348V6-2,Automatic,44,0.18,4.10,9.1,1.6,1.3,1.8,8.1,6.6,9.8,22/08/2016
BD_01349V6-1,Automatic,38,0.18,4.84,8.9,1.4,1.2,1.7,8.3,7.3,9.8,22/08/2016
BD_01349V6-2,Automatic,50,0.25,4.95,8.7,1.4,1.2,1.6,8.0,6.9,9.2,22/08/2016
BD_01349V6-3,Automatic,44,0.22,5.04,9.1,1.5,1.2,1.6,8.5,7.1,10.1,22/08/2016
BD_01350V6-1,Automatic,38,0.18,4.77,9.8,1.6,1.5,1.9,8.2,6.7,9.9,22/08/2016
BD_01350V6-2,Automatic,44,0.25,5.74,10.7,1.7,1.4,1.9,8.8,7.0,10.5,22/08/2016
BD_01350V6-3,Automatic,48,0.25,5.22,10.2,1.7,1.4,1.9,8.3,7.1,10.2,22/08/2016
BD_01351V6-1,Automatic,38,0.18,4.72,8.9,1.5,1.3,1.6,8.0,6.7,9.8,22/08/2016
BD_01351V6-2,Automatic,50,0.23,4.60,8.9,1.5,1.3,1.8,8.1,6.4,9.6,22/08/2016
BD_01351V6-3,Automatic,51,0.23,4.51,8.7,1.4,1.2,1.8,7.9,5.9,9.3,22/08/2016
BD_01352V6-1,Automatic,39,0.20,5.04,10.3,1.7,1.2,1.9,8.2,6.6,10.7,22/08/2016
BD_01352V6-2,Automatic,50,0.26,5.20,10.9,1.7,1.4,2.0,8.6,7.5,10.4,22/08/2016
