Type,Count As,Area(mm²),Length(mm),Width(mm)

Automatic,1,8.8,8.7,1.4
Automatic,1,9.0,7.7,1.5
Automatic,1,8.2,8.2,1.4
Automatic,1,8.2,8.6,1.4
Automatic,1,6.9,6.9,1.3
Automatic,1,7.8,7.5,1.3
Automatic,1,8.3,7.9,1.4
Automatic,1,7.5,7.0,1.4
Automatic,1,8.0,7.2,1.4
Automatic,1,7.5,6.7,1.4
Automatic,1,6.9,6.9,1.3
Automatic,1,7.6,7.2,1.3
Automatic,1,8.5,8.2,1.4
Automatic,1,8.3,9.3,1.3
Automatic,1,8.3,8.6,1.3
Automatic,1,8.5,8.5,1.4
Automatic,1,7.6,6.9,1.3
Automatic,1,8.1,7.8,1.3
Automatic,1,6.0,6.5,1.1
Automatic,1,7.8,7.9,1.4
Automatic,1,8.9,8.3,1.4
Automatic,1,9.0,8.7,1.4
Automatic,1,6.8,6.5,1.3
Automatic,1,8.4,8.7,1.5
Automatic,1,7.8,7.5,1.4
Automatic,1,7.0,6.6,1.3
Automatic,1,7.5,6.9,1.4
Automatic,1,6.6,6.7,1.2
Automatic,1,7.0,9.1,1.1
Automatic,1,9.0,9.7,1.3
Automatic,1,9.0,8.3,2.1
Automatic,1,7.4,7.2,1.2
Automatic,1,8.7,9.2,1.4
Automatic,1,8.5,9.5,1.4
Automatic,1,8.3,9.1,1.3
Automatic,1,7.8,7.6,1.5
Automatic,1,8.1,8.3,1.3
Automatic,1,9.1,8.5,1.5
