Type,Count As,Area(mm²),Length(mm),Width(mm)

Automatic,1,12.5,9.2,1.7
Automatic,1,11.2,9.4,1.8
Automatic,1,12.6,9.3,1.9
Automatic,1,11.4,8.6,1.7
Automatic,1,14.6,9.9,2.0
Automatic,1,12.9,9.8,1.9
Automatic,1,13.1,10.4,1.8
Automatic,1,11.4,9.7,1.6
Automatic,1,13.3,9.7,1.8
Automatic,1,11.9,8.7,1.9
Automatic,1,11.9,8.7,1.8
Automatic,1,12.4,9.2,1.8
Automatic,1,10.2,8.4,1.7
Automatic,1,9.9,7.7,1.8
Automatic,1,9.8,8.5,1.5
Automatic,1,8.4,7.6,1.5
Automatic,1,8.7,8.6,1.4
Automatic,1,13.1,9.5,2.0
Automatic,1,10.8,9.0,1.7
Automatic,1,11.9,9.8,1.6
Automatic,1,12.3,9.3,1.8
Automatic,1,8.6,7.8,1.5
Automatic,1,12.4,8.9,1.9
Automatic,1,11.1,9.2,1.8
Automatic,1,10.0,8.5,1.7
Automatic,1,12.5,9.4,1.9
Automatic,1,12.1,9.2,1.9
Automatic,1,11.0,8.5,1.7
Automatic,1,12.6,9.2,2.0
Automatic,1,11.8,9.2,1.8
Automatic,1,12.0,9.0,1.8
Automatic,1,10.2,7.4,1.8
