Type,Count As,Area(mm²),Length(mm),Width(mm)

Automatic,1,9.0,9.6,1.4
Automatic,1,10.9,10.0,1.5
Automatic,1,9.5,9.3,1.4
Automatic,1,11.6,9.4,1.6
Automatic,1,10.7,10.0,1.5
Automatic,1,11.1,9.9,1.5
Automatic,1,10.0,9.5,1.5
Automatic,1,9.9,9.1,1.5
Automatic,1,10.4,9.8,1.5
Automatic,1,8.4,7.9,1.4
Automatic,1,11.4,9.3,1.6
Automatic,1,9.5,9.1,1.4
Automatic,1,9.0,9.2,1.4
Automatic,1,11.2,10.4,1.6
Automatic,1,9.6,8.8,1.4
Automatic,1,9.4,8.4,1.5
Automatic,1,8.8,10.4,1.4
Automatic,1,9.9,10.6,1.4
Automatic,1,9.5,9.3,1.4
Automatic,1,7.3,7.5,1.3
Automatic,1,8.6,8.2,1.4
Automatic,1,11.1,10.4,1.5
Automatic,1,9.1,9.5,1.4
Automatic,1,8.2,8.3,1.3
Automatic,1,8.9,8.8,1.4
Automatic,1,9.9,10.1,1.4
Automatic,1,10.5,10.5,1.5
Automatic,1,10.7,10.1,1.5
Automatic,1,8.2,7.7,1.4
Automatic,1,9.6,9.3,1.4
Automatic,1,9.1,8.7,1.5
Automatic,1,7.7,8.5,1.3
Automatic,1,10.4,9.8,1.5
Automatic,1,10.2,9.5,1.5
Automatic,1,10.2,9.4,1.5
Automatic,1,8.9,8.0,1.5
