Type,Count As,Area(mm²),Length(mm),Width(mm)

Automatic,1,10.7,8.9,1.7
Automatic,1,12.2,10.8,1.6
Automatic,1,9.7,10.5,1.3
Automatic,1,10.1,8.4,1.6
Automatic,1,8.7,10.6,1.3
Automatic,1,11.2,9.0,1.8
Automatic,1,12.1,8.4,4.8
Automatic,1,12.4,9.8,1.8
Automatic,1,12.1,10.1,1.7
Automatic,1,10.4,8.2,1.7
Automatic,1,12.2,10.8,1.7
Automatic,1,10.8,9.9,1.5
Automatic,1,10.0,8.3,1.6
Automatic,1,10.1,10.3,1.4
Automatic,1,11.4,9.6,1.7
Automatic,1,9.9,8.7,1.6
Automatic,1,11.1,10.4,1.6
Automatic,1,9.5,7.8,1.6
Automatic,1,5.6,8.2,1.3
Automatic,1,14.6,10.5,2.0
Automatic,1,0.7,2.3,0.3
Automatic,1,12.4,9.6,1.9
Automatic,1,8.2,7.4,1.3
Automatic,1,7.3,7.0,1.2
Automatic,1,8.4,7.7,1.4
Automatic,1,9.4,7.8,1.5
Automatic,1,12.2,9.1,1.8
Automatic,1,5.4,5.6,1.2
Automatic,1,7.4,9.8,1.3
Automatic,1,10.1,7.8,1.7
Automatic,1,11.0,9.5,1.6
Automatic,1,5.5,8.6,0.9
Automatic,1,9.8,8.6,1.5
Automatic,1,10.5,8.5,1.6
Automatic,1,10.9,8.9,1.6
Automatic,1,10.7,8.2,1.7
Automatic,1,9.1,8.1,1.6
Automatic,1,9.1,7.9,1.6
Automatic,1,6.4,7.8,1.2
Automatic,1,9.1,10.0,1.4
Automatic,1,9.5,9.5,1.2
Automatic,1,8.9,9.2,1.4
Automatic,1,10.5,10.5,1.4
Automatic,1,10.1,8.9,1.6
Automatic,1,11.9,9.9,1.7
Automatic,1,8.8,7.0,1.5
Automatic,1,7.6,7.2,1.3
Automatic,1,7.5,8.5,1.3
Automatic,1,8.1,7.6,1.3
Automatic,1,3.2,5.1,0.9
Automatic,1,9.1,9.1,1.3
Automatic,1,9.2,8.4,1.5
Automatic,1,9.8,8.8,1.5
Automatic,1,11.3,8.9,1.6
Automatic,1,1.4,2.2,0.7
Automatic,1,10.5,9.5,1.6
Automatic,1,9.3,7.6,1.6
Automatic,1,9.3,9.6,1.3
Automatic,1,10.4,10.2,1.6
Automatic,1,10.8,8.5,1.8
Automatic,1,11.0,9.4,1.7
Automatic,1,11.8,9.7,1.7
Automatic,1,9.8,8.4,1.5
Automatic,1,13.3,9.9,1.7
Automatic,1,9.3,8.7,1.5
Automatic,1,10.7,10.7,1.4
Automatic,1,11.1,10.3,1.4
Automatic,1,12.4,9.8,1.8
Automatic,1,10.9,8.6,1.8
Automatic,1,10.6,8.5,1.6
Automatic,1,11.7,10.7,1.6
Automatic,1,10.5,10.5,1.6
Automatic,1,10.3,8.9,1.5
