Plant number,Plant section,Measurement number,Number of slices,Resolution,RIL ID
BD_01504,all,1495,915,29.6,ABR6
BD_01504,all,1497,804,29.6,ABR6
BD_01504,all,1499,713,29.6,ABR6
BD_01505,all,1501,713,29.6,Bd21
BD_01505,all,1503,612,29.6,Bd21
BD_01505,all,1505,612,29.6,Bd21
BD_01273,all,1507,1016,29.6,1
BD_01274,all,1509,1016,29.6,2
BD_01275,all,1511,963,29.6,4
BD_01276,all,1513,1271,29.6,5
BD_01277,all,1515,1016,29.6,6
BD_01278,all,1517,867,29.6,7
BD_01279,all,1519,1170,29.6,8
BD_01280,all,1521,1069,29.6,9
BD_01281,all,1523,660,29.6,11
BD_01282,all,1525,1271,29.6,13
BD_01283,all,1527,1223,29.6,14
BD_01284,all,1529,1223,29.6,15
BD_01285,all,1531,1170,29.6,16
BD_01286,all,1533,915,29.6,17
BD_01287,all,1535,1271,29.6,18
BD_01288,all,1537,1069,29.6,19
BD_01289,all,1539,968,29.6,20
BD_01290,all,1541,1526,29.6,21
BD_01291,all,1543,1016,29.6,22
BD_01292,all,1545,1122,29.6,23
BD_01293,all,1547,944,29.6,24
BD_01294,all,1549,915,29.6,25
BD_01295,all,1551,1478,29.6,26
BD_01296,all,1553,1271,29.6,28
BD_01297,all,1555,1122,29.6,29
BD_01298,all,1557,1069,29.6,30
BD_01299,all,1559,1069,29.6,31
BD_01300,all,1561,1016,29.6,32
BD_01301,all,1563,1069,29.6,33
BD_01302,all,1565,1165,29.6,34
BD_01303,all,1567,1324,29.6,36
BD_01304,all,1569,1223,29.6,37
BD_01305,all,1571,1223,29.6,41
BD_01306,all,1573,1324,29.6,42
BD_01307,all,1575,1122,29.6,43
BD_01308,all,1577,1016,29.6,44
BD_01309,all,1579,915,29.6,45
BD_01310,all,1581,1016,29.6,46
BD_01311,all,1583,1324,29.6,47
BD_01312,all,1585,1526,29.6,48
BD_01313,all,1587,1016,29.6,49
BD_01314,all,1589,814,29.6,50
BD_01315,all,1591,1223,29.6,51
BD_01316,all,1593,1478,29.6,54
BD_01318,all,1595,814,29.6,56
BD_01319,all,1597,968,29.6,58
BD_01320,all,1599,1016,29.6,59
BD_01321,all,1601,1069,29.6,60
BD_01322,all,1603,915,29.6,61
BD_01323,all,1605,713,29.6,62
BD_01324,all,1607,1016,29.6,63
BD_01325,all,1609,968,29.6,64
BD_01326,all,1611,1122,29.6,65
BD_01327,all,1613,867,29.6,67
BD_01328,all,1615,1170,29.6,69
BD_01329,all,1617,1016,29.6,70
BD_01330,all,1619,1122,29.6,71
BD_01331,all,1621,1069,29.6,72
BD_01332,all,1623,1223,29.6,73
BD_01333,all,1625,1117,29.6,74
BD_01334,all,1627,1223,29.6,75
BD_01335,all,1629,1170,29.6,76
BD_01336,all,1631,968,29.6,77
BD_01337,all,1633,1170,29.6,78
BD_01338,all,1635,1271,29.6,80
BD_01339,all,1637,1069,29.6,81
BD_01340,all,1639,838,29.6,82
BD_01341,all,1641,968,29.6,83
BD_01342,all,1643,915,29.6,84
BD_01343,all,1645,1223,29.6,85
BD_01344,all,1647,1271,29.6,86
BD_01345,all,1649,1204,29.6,87
BD_01346,all,1651,867,29.6,88
BD_01347,all,1653,814,29.6,89
BD_01348,all,1655,1069,29.6,90
BD_01349,all,1657,1271,29.6,91
BD_01350,all,1659,1069,29.6,92
BD_01351,all,1661,862,29.6,93
BD_01352,all,1663,1665,29.6,94
BD_01353,all,1665,1170,29.6,95
BD_01354,all,1667,867,29.6,96
BD_01355,all,1669,968,29.6,97
BD_01356,all,1671,1011,29.6,98
BD_01358,all,1673,915,29.6,100
BD_01359,all,1675,1170,29.6,101
BD_01360,all,1677,1204,29.6,102
BD_01361,all,1679,939,29.6,103
BD_01362,all,1681,1122,29.6,104
BD_01363,all,1683,1420,29.6,105
BD_01364,all,1685,1170,29.6,106
BD_01365,all,1687,1016,29.6,107
BD_01366,all,1689,915,29.6,108
BD_01367,all,1691,944,29.6,109
BD_01368,all,1693,1002,29.6,110
BD_01369,all,1695,1069,29.6,111
BD_01370,all,1697,1069,29.6,112
BD_01371,all,1699,1170,29.6,113
BD_01372,all,1701,1069,29.6,114
BD_01373,all,1703,718,29.6,115
BD_01374,all,1705,1271,29.6,116
BD_01375,all,1707,1170,29.6,117
BD_01376,all,1709,1122,29.6,118
BD_01377,all,1711,1069,29.6,119
BD_01378,all,1713,867,29.6,120
BD_01379,all,1715,1069,29.6,121
BD_01380,all,1717,814,29.6,122
BD_01381,all,1719,1122,29.6,123
BD_01382,all,1721,1069,29.6,124
BD_01383,all,1723,968,29.6,125
BD_01384,all,1725,1069,29.6,126
BD_01385,all,1727,1310,29.6,127
BD_01386,all,1729,1334,29.6,128
BD_01387,all,1731,867,29.6,129
BD_01388,all,1733,1223,29.6,131
BD_01389,all,1735,506,29.6,132
BD_01390,all,1737,1016,29.6,133
BD_01391,all,1739,1324,29.6,134
BD_01392,all,1741,1425,29.6,135
BD_01393,all,1743,1069,29.6,136
BD_01394,all,1745,1016,29.6,137
BD_01395,all,1747,1045,29.6,138
BD_01396,all,1749,1122,29.6,139
BD_01397,all,1751,1069,29.6,140
BD_01398,all,1753,1271,29.6,141
